,detail
579,"Schwandenacker, schwandenwiesen, schulhaus haslen, horte, winterdienst letzte prioritaet statt eine stufe höher (da horte, schulhaus)wurde mitgeteilt, stadt erhöht aber stufe nicht, es muss stets angerufen werden fuer winterdienst, bewohner, kinder haben muehe mit schnee und eis"
587,Abfall am Boden
589,"Die Umgebung rund um die Häuser an der Siegfriedstrasse ist die absolute Mülldeponie. Neben diversen Abfällen wird in dunkler Nacht auch konstant Sperrgut vor dem Haus Siegfriedstrasse 5 (hinter dem Restaurant Schlüssel) entsorgt (Kindersitze, Stahltische, Plastikkörbe, schwarze Abfallsäcke undundund). Dieses steht dann monatelang einfach da. Unser Zuhause wird deshalb als «Slum vom Seefeld» bezeichnet. Das ist aber ausdrücklich keine Reklamation, die sich an die Gärtnerei richtet. Die Gärtnerei vor dem Haus stellt Blumentöpfe auf und macht ihr Möglichstes für das Umfeld, zudem hat sie eine abschreckende Wirkung auf die Illegalen-Abfall-Entsorger."
591,Hausrat auf der Strasse
592,Defekt und unschön.
595,Illegale Entsorgung
612,Immer wieder Abfall und Unmengen von Zigarettenstummel auf dem Kinderspielplatz 115.
621,"Holderbach überläuft bei alter Mühlackerstrasse. Bereits im Dezember 2012 mussten wir 3x der Feuerwehr und GRZ telefonieren. Da der Rechen verstopft war und das Wasser bis oben an den Rand stand, ein neues grösseres Becken bildete. Da GRZ und Feuerwehr jeweils rasch reagierten und sofort ausrückten konnte ein Überlaufen jeweils knapp verhindert werden. Beim intensiven Kontakt mit den ausrückenden Mitarbeitern erwähnt einer, der Rechen sei eine Fehlplanung und müsste etwa 5m vor dem Einlauf zu stehen kommen. Seit Dezember haben wir eine vermehrte Kontrolle des Rechens seitens der Stadt bemerkt. Aber immer noch nicht genügend. Denn gestern überlief der Bach dann doch und richtete Schaden an. Dies nicht nur wegen des grossen Niederschlages, sondern weil der Rechen verstopft war. Das Wasser konnte nicht mehr ablaufen. Anwohner haben das 5000er Schloss geknackt und den Rechen entfernt um noch grösseren Schaden zu verhindern. Was wiederum sehr gefährich ist, da der Einlauf nicht geschützt ist. Vorletzte Woche wurde der Rechen auch von der Stadt vorübergehen entfernt. Das Problem muss unbedingt von den diversen Stellen begutachtet, besprochen und behoben werden. Wir wohnen direkt vis a vis, etwas vertieft. Der Stall ist ungeschützt."
624,Printer liegt seit Wochen auf der Strasse.
626,"Salz-Splittkisten, Signaltafeln Achtung Schlittelweg sind immer noch hier und es ist Mai. 1.Kiste Fürstweg Kehrplatz 2.Kiste Fürstweg Seminarstr. 1.Tafel Fürstweg Abeggweg 2.Tafel Fürstweg Seminarstr."
630,"Der Wasserauslauf ist verstopft. Gefahr bei nochmaligem Gewitter,überlaufen des Baches."
643,"An der Hausecke Badenerstrasse 384 steht ein alter Drucker. Anscheinend wurde die Tonerpatrone herausgerissen, auf die Seitenstrasse geworfen und dort von einem Auto überfahren. An der markierten Stelle ist die Strasse grossflächig schwarz vom Toner."
646,"Der Verbindungs-Fussweg zwischen Rebbergstrasse 11/19 und Griesernweg (an der Rebbergstrasse bezeichnet ""Zum Griesernweg"") ist ein öffentlicher und recht stark frequentierter Fussweg, wird aber vom erz seit 8 Jahren praktisch nie gereinigt. Auf Telefonanrufe hin wird er bisher danach 1x gereinigt, danach geschieht wieder nichts mehr. Im Januar wurde seitens erz versprochen, er werde vom erz ab sofort 1x wöchentlich gereinigt, Sommer und Winter! Es wurde dann ca. 2 x eine Schnee- bzw. Eisräumung durchgeführt. Dann wurde in der Woche nach Ostern 1x gewischt. Danach wurde erneut nie mehr vom erz gereinigt. Was kann der Grund dafür sein? Wer ist für die Reinigung zuständig? Falls das erz, warum klappt es einfach nie? Die Fotos zeigen die seit KW 14 bestehende Situation. (hoffentlich sind beide Fotos bei Ihnen angekommen)"
649,Littering
661,Abfall/pet in Sammelstelle
662,Spielplatz mit Müll übersät. Überall Unrat! Spielplatz am rigiblick
664,Verschmutzter Zugang zum Waidwald
666,Illegale mülldeponie
670,Dreck / Littering liegt schon seit Monaten hier
673,"Glasscherben in Betonröhre, welche Kindern als Tunnel zum Durchlaufen dient"
674,Massiv überfüllter Abfalleimer
678,Bild spricht für sich. Vermutlich illegal entsorgt.
681,Nach Unwetter vom 02.05.2013 Strassen und Gehweg verschmutzt. Bitte um Reinigung
683,Abfallhalde
689,Seit 3 Tagen Rossbollen in der Fussgänger Unterführung. . .
694,Illegaler entsorgter Kühlschrank
697,"Container vom ERZ wurde mit dem Schriftzug ""bird"" versprayt"
700,"Die Unterführung an der Bucheggstrasse ist nach wie vor schmutzig. Nach meiner letzten Meldung, rannte einfach mal jemand kurz mit dem Besen durch. Wegen so etwas mache ich keine Meldung. Denn die Unterführung ist schmutzig, in dem Sinne, dass man diese mit einem Hochdruckreiniger reinigen müsste."
702,Server auf trottoir entsorgt
713,Veloweg/Unterführung voller Scherben.
718,Bei der Tramhaltestelle Signaustrasse fehlt der Abfallkübel
