service_code,mean,median,max
Grünflächen/Spielplätze,4.75811286434174,2.59578125,802.1208796296296
Graffiti,11.350375872597125,1.9370486111111112,300.9
Strasse/Trottoir/Platz,3.042766358525124,1.5125289351851852,1726.8503935185186
VBZ/ÖV,3.307727365024514,1.246597222222222,106.1144212962963
Brunnen/Hydranten,3.742011038087427,1.0741898148148148,180.7189351851852
Beleuchtung/Uhren,2.6224264906088814,1.0308217592592592,1293.7386226851852
Allgemein,1.6628018806994431,0.7777199074074075,177.78814814814814
Signalisation/Lichtsignal,4.716689250457393,0.7732233796296296,789.180925925926
Schädlinge,1.0757574875853508,0.6399537037037037,17.089305555555555
Abfall/Sammelstelle,1.0118285106542952,0.563587962962963,723.7792824074074
