service_code,0
Abfall/Sammelstelle,27339
Signalisation/Lichtsignal,10972
Strasse/Trottoir/Platz,9868
Grünflächen/Spielplätze,7234
Beleuchtung/Uhren,5407
Allgemein,3964
Graffiti,3759
VBZ/ÖV,1881
Brunnen/Hydranten,1287
Schädlinge,895
